index,x,y,z,
386,2.57244912,-0.34234216,-0.01482964,
387,2.42148307,-0.37978485,-0.01488495,
388,2.24203293,-0.43527726,-0.01429367,
389,2.08557349,-0.49163250,-0.01250648,
390,1.91440076,-0.53941898,-0.00959969,
391,1.74427397,-0.59247594,-0.00654697,
392,1.61958162,-0.63809590,-0.00475979,
393,1.46781638,-0.68657952,-0.00173855,
394,1.31331504,-0.74324471,0.00159454,
395,1.14021803,-0.78716212,0.00553608,
396,1.01025329,-0.82612974,0.00825977,
397,0.87663358,-0.86865599,0.00936031,
398,0.73365310,-0.92599471,0.00915337,
399,0.60132182,-0.95031841,0.00966930,
400,0.46370193,-0.99988826,0.01069355,
401,0.32210570,-1.04991730,0.01230526,
402,0.15572777,-1.10402664,0.01436615,
403,0.01737116,-1.14554581,0.01767921,
404,-0.11057562,-1.17858037,0.02196503,
405,-0.17368308,-1.20442709,0.02503872,
406,-0.25215804,-1.22405276,0.02660847,
407,-0.30470260,-1.23684344,0.02556801,
408,-0.36002569,-1.24696049,0.02392960,
409,-0.36967735,-1.24134621,0.02241611,
410,-0.38006619,-1.23210630,0.02136993,
411,-0.39594533,-1.21772656,0.02162170,
412,-0.41222693,-1.21190986,0.02219486,
413,-0.42253281,-1.19773683,0.02251720,
414,-0.42677761,-1.18689760,0.02184868,
415,-0.43546033,-1.17516049,0.02011871,
416,-0.43727374,-1.16661533,0.01774216,
417,-0.44780421,-1.17709311,0.01682281,
418,-0.44797158,-1.17458185,0.01646709,
419,-0.43973899,-1.17281183,0.01710033,
420,-0.42446447,-1.17339953,0.01810074,
421,-0.41967035,-1.15990385,0.01863670,
422,-0.41967035,-1.15990385,0.01863670,
423,-0.41967035,-1.15990385,0.01863670,
